unique_id,device_id,package,app_version,sdk_version,platform_version,brand,model,operators,network_type,lang,local_time_zone,screen_width,screen_height,screen_dpi,screen_orientation
7285,3d1b60a551b72565,org.rayacoin,54,34,14,Xiaomi,23122PCD1G,,4G,fa,Asia/Tehran,1220,2466,480,
812,e93d96a7a7f5aa0b,org.rayacoin,48,30,11,samsung,SM-A207F,,4G,fa,Asia/Tehran,720,1422,280,
5494,7feda795e37a958e,org.rayacoin,53,30,11,samsung,SM-A022F,,4G,fa,Asia/Tehran,720,1465,300,
5467,d166db7b95715320,org.rayacoin,53,34,14,samsung,SM-A155F,,4G,fa,Asia/Tehran,1080,2125,450,
6453,a9912ee3fba0d4af,org.rayacoin,54,29,10,HUAWEI,MOA-LX9N,,wifi,fa,Asia/Tehran,720,1470,360,
412,58405116b0f4cbd7,org.rayacoin,46,33,13,samsung,SM-A145P,,3G,fa,Asia/Tehran,1080,2218,420,
5886,1818d88f675a9e1c,org.rayacoin,53,33,13,Xiaomi,2303CRA44A,,wifi,fa,Asia/Tehran,1080,2177,440,
7192,91dfacaa8858b522,org.rayacoin,54,24,7.0,samsung,SM-G925F,,wifi,fa,Asia/Tehran,1440,2560,640,
5591,8c799f7c53dc09b1,org.rayacoin,53,33,13,HMD Global,NokiaG20,,2G,fa,Asia/Tehran,720,1511,306,
908,4faff3fc58d80298,org.rayacoin,48,33,13,Xiaomi,2201117TG,,4G,fa,Asia/Tehran,1080,2177,440,
7230,40cd20b92f8c8118,org.rayacoin,54,24,7.0,LGE,LG-H990,,wifi,fa,Asia/Tehran,1440,2392,640,
8184,a3e8830f5f6d6324,org.rayacoin,54,28,9,samsung,SM-J330F,,4G,fa,Asia/Tehran,720,1280,320,
877,90ea31d3deccedfd,org.rayacoin,48,33,13,samsung,SM-A225F,,wifi,fa,Asia/Tehran,720,1514,300,
4502,37b4bc9f70e53940,org.rayacoin,53,27,8.1.0,samsung,SM-J260F,,3G,fa,Asia/Tehran,540,888,240,
1850,a07ee9bf08f81610,org.rayacoin,48,33,13,samsung,SM-A135F,,wifi,fa,Asia/Tehran,1080,2208,450,
5733,b733317a74e09d48,org.rayacoin,53,31,12,Xiaomi,22071219CG,,4G,fa,Asia/Tehran,1080,2202,440,
6240,b9e6ce00481318bc,org.rayacoin,53,31,12,samsung,SM-A715F,['43235'],4G,fa,Asia/Tehran,1080,2183,420,
7068,8e9253dc726ec1fa,org.rayacoin,53,33,13,HONOR,CMA-LX2,,4G,fa,Asia/Tehran,720,1474,320,
7929,64c4e1f9e4da733e,org.rayacoin,54,33,13,samsung,SM-A325F,,wifi,fa,Asia/Tehran,1080,2176,480,
6757,6046be8142eac03a,org.rayacoin,53,33,13,Xiaomi,2310FPCA4G,,4G,fa,Asia/Tehran,720,1500,320,
667,d382d592c0cd1e17,org.rayacoin,48,33,13,Xiaomi,2201116PG,,4G,fa,Asia/Tehran,1080,2180,440,
7448,90758a2e0053f995,org.rayacoin,54,30,11,samsung,SM-A307FN,,wifi,fa,Asia/Tehran,720,1423,280,
4735,a980eca9f74766cf,org.rayacoin,53,33,13,samsung,SM-A536E,,4G,fa,Asia/Tehran,1080,2177,450,
5394,7610f56eef3bd93b,org.rayacoin,53,29,10,samsung,SM-T505N,,4G,fa,Asia/Tehran,1200,1928,240,
6980,c6908b0383409a51,org.rayacoin,53,34,14,samsung,SM-A145F,,4G,fa,Asia/Tehran,1080,2200,480,
4693,6980d136c4b725b4,org.rayacoin,53,31,12,samsung,SM-A037F,,4G,fa,Asia/Tehran,720,1471,280,
4416,6339ca9d0b65bc75,org.rayacoin,53,30,11,samsung,SM-A205F,,4G,fa,Asia/Tehran,720,1423,280,
2063,316baa1ad964dca0,org.rayacoin,45,28,9,samsung,SM-A107F,,4G,fa,Asia/Tehran,720,1439,280,
4477,28f513babd1f69dc,org.rayacoin,53,34,14,samsung,SM-A137F,,4G,fa,Asia/Tehran,1080,2301,450,
163,f0e7ab24aae6e413,org.rayacoin,45,30,11,samsung,SM-A207F,,4G,fa,Asia/Tehran,720,1422,280,
6095,ab14ba199a7ee13e,org.rayacoin,53,33,13,Xiaomi,2201117SG,,4G,fa,Asia/Tehran,1080,2147,440,
5139,c5e3fb5d56ae0512,org.rayacoin,53,29,10,samsung,SM-A315F,,4G,fa,Asia/Tehran,1080,2195,420,
5011,81c5695fc70180ed,org.rayacoin,53,30,11,Xiaomi,220233L2G,,wifi,fa,Asia/Tehran,720,1449,320,
6471,70119bd3165fa1a7,org.rayacoin,54,29,10,samsung,SM-A022F,,4G,fa,Asia/Tehran,720,1465,300,
1092,581bc0138048b499,org.rayacoin,48,33,13,samsung,SM-A225F,,4G,fa,Asia/Tehran,720,1458,280,
1646,460bd7f7ac24000d,org.rayacoin,48,28,9,samsung,SM-J701F,,4G,fa,Asia/Tehran,720,1280,320,
3181,186cce6bd62afa50,org.rayacoin,50,33,13,samsung,SM-A715F,,4G,fa,Asia/Tehran,1080,2183,420,
3944,59c02b75cc411fe2,org.rayacoin,53,30,11,samsung,SM-A105F,,4G,fa,Asia/Tehran,720,1382,280,
4754,58da37b86095b5b0,org.rayacoin,53,27,8.1.0,samsung,SM-G610F,,wifi,fa,Asia/Tehran,1080,1920,420,
974,d4b9f909f57abc54,org.rayacoin,53,33,13,samsung,SM-A137F,,wifi,fa,Asia/Tehran,1080,2217,420,
2005,f97ef03f459ee3c1,org.rayacoin,48,33,13,samsung,SM-A035F,,4G,fa,Asia/Tehran,720,1529,280,
5784,c0f512335a934196,org.rayacoin,53,33,13,samsung,SM-A225F,,4G,fa,Asia/Tehran,720,1446,320,
2872,dc5931afe7892d47,org.rayacoin,53,30,11,samsung,SM-A022F,,4G,fa,Asia/Tehran,720,1465,300,
2598,c65f70b893ba3c76,org.rayacoin,48,33,13,samsung,SM-A326B,,4G,fa,Asia/Tehran,720,1457,300,
5746,7ad74b48d562751a,org.rayacoin,53,31,12,Xiaomi,2209116AG,,4G,fa,Asia/Tehran,1080,2177,440,
406,e724d1e1cd406161,org.rayacoin,46,29,10,Xiaomi,RedmiNote9Pro,,wifi,fa,Asia/Tehran,1080,2254,440,
6414,9417700ef251fe70,org.rayacoin,53,29,10,samsung,SM-G965F,,wifi,fa,Asia/Tehran,1080,2094,420,
5735,bb66920cca43aa47,org.rayacoin,53,29,10,Xiaomi,M2003J15SC,,4G,fa,Asia/Tehran,1080,2080,440,
5404,dea587e93a3774f0,org.rayacoin,53,29,10,samsung,SM-A207F,['43220'],4G,en,Asia/Tehran,720,1422,280,
7887,d02064183df86357,org.rayacoin,54,34,14,samsung,SM-A336B,,4G,fa,Asia/Tehran,1080,2185,450,
6722,e22afe453db923ab,org.rayacoin,54,33,13,samsung,SM-A515F,,wifi,fa,Asia/Tehran,1080,2168,480,
7856,f01f22bf69bddf72,org.rayacoin,54,28,9,samsung,SM-J701F,,4G,fa,Asia/Tehran,720,1280,320,
127,5675f8e9aca047e5,org.rayacoin,45,31,12,samsung,SM-A135F,,4G,fa,Asia/Tehran,1080,2208,450,
1247,9e422f5e6c813aa0,org.rayacoin,48,31,12,samsung,SM-A225F,,4G,fa,Asia/Tehran,720,1452,300,
6135,7bc0e81e59bf08b3,org.rayacoin,53,30,11,samsung,SM-A107F,,4G,fa,Asia/Tehran,720,1439,280,
31,c6fe94a82fbd3bcd,org.rayacoin,52,29,10,HUAWEI,MOA-LX9N,,wifi,fa,Asia/Tehran,720,1470,272,
3563,762e3c058adbf5ea,org.rayacoin,53,33,13,samsung,SM-A135F,,4G,fa,Asia/Tehran,1080,2208,450,
38,cf2c7a41ea5c452a,org.rayacoin,53,31,12,samsung,SM-A125F,,wifi,fa,Asia/Tehran,720,1465,300,
6262,3245a31bffab3402,org.rayacoin,53,29,10,samsung,SM-A605G,,4G,fa,Asia/Tehran,1080,2094,420,
7862,22d1d571a2f23a2a,org.rayacoin,54,33,13,samsung,SM-A515F,,4G,fa,Asia/Tehran,1080,2186,420,
5637,ba73badc387d72e9,org.rayacoin,53,33,13,samsung,SM-A515F,,4G,fa,Asia/Tehran,1080,2186,420,
5326,f044b968be3f7264,org.rayacoin,53,33,13,samsung,SM-A325F,,4G,fa,Asia/Tehran,1080,2194,420,
2497,58620f09d0c912ab,org.rayacoin,54,34,14,samsung,SM-A546E,,4G,fa,Asia/Tehran,1080,2125,450,
7445,e57d393a1857ff39,org.rayacoin,54,31,12,samsung,SM-M315F,,3G,fa,Asia/Tehran,1080,2131,420,
7438,3320de109734fb05,org.rayacoin,54,33,13,samsung,SM-N981B,,wifi,fa,Asia/Tehran,1080,2173,450,
3691,4e7b3532f9ad3627,org.rayacoin,53,30,11,samsung,SM-A205F,,4G,fa,Asia/Tehran,720,1423,280,
5252,0254952707f50f0a,org.rayacoin,53,29,10,Xiaomi,RedmiNote9Pro,,wifi,fa,Asia/Tehran,1080,2168,440,
3215,caf63da137909e38,org.rayacoin,51,28,9,HUAWEI,MRD-LX1F,,4G,fa,Asia/Tehran,720,1422,360,
344,774b400f33dc735c,org.rayacoin,50,33,13,samsung,SM-A515F,,wifi,fa,Asia/Tehran,1080,2186,420,
1663,3138509a32b19572,org.rayacoin,53,31,12,Xiaomi,M2007J20CG,,wifi,fa,Asia/Tehran,1080,2179,440,
896,70b463c4e8dc24e1,org.rayacoin,48,33,13,samsung,SM-A235F,,4G,fa,Asia/Tehran,1080,2300,450,
2940,ca1167b8315fed01,org.rayacoin,50,31,12,Xiaomi,RedmiNote9Pro,,4G,fa,Asia/Tehran,1080,2168,440,
4605,fa5bb4c1142df8d8,org.rayacoin,53,30,11,Xiaomi,M1908C3JGG,,4G,fa,Asia/Tehran,1080,2130,440,
6229,847852d5db833ff5,org.rayacoin,53,30,11,Xiaomi,2201116TG,,4G,fa,Asia/Tehran,1080,2180,440,
2487,f011fa2bf97e1e53,org.rayacoin,48,31,12,Xiaomi,M2007J20CG,,wifi,fa,Asia/Tehran,1080,2179,440,
206,f5a34a700b0fdee6,org.rayacoin,53,34,14,Xiaomi,2311DRK48G,,4G,fa,Asia/Tehran,1220,2562,480,
3557,7c8a5c7f80b8a8ea,org.rayacoin,53,33,13,Xiaomi,2303CRA44A,,wifi,fa,Asia/Tehran,1080,2177,440,
5877,7c2c611fd22eb793,org.rayacoin,53,33,13,Xiaomi,23106RN0DA,,wifi,fa,Asia/Tehran,720,1438,320,
435,f8c749ba5e487f00,org.rayacoin,27,30,11,samsung,SM-A127F,['43220'],4G,fa,Asia/Tehran,720,1467,300,
7311,cf6bc52f35aa80fa,org.rayacoin,54,33,13,samsung,SM-A325F,,4G,fa,Asia/Tehran,1080,2194,420,
6264,2130e04b8dfb58df,org.rayacoin,53,34,14,samsung,SM-A528B,,wifi,fa,Asia/Tehran,1080,2177,450,
3290,a3d887133d1fe299,org.rayacoin,53,31,12,samsung,SM-A325F,,wifi,fa,Asia/Tehran,1080,2194,420,
2007,11c7f1e562a2764c,org.rayacoin,53,28,9,HUAWEI,JAT-L29,,4G,fa,Asia/Tehran,720,1422,320,
6848,2a078b1e0de1055f,org.rayacoin,53,33,13,samsung,SM-A047F,,4G,fa,Asia/Tehran,720,1465,300,
5021,36652a6592ac1b7b,org.rayacoin,53,31,12,Xiaomi,2201117TG,,wifi,fa,Asia/Tehran,1080,2177,440,
2502,673fd8cb56a9badf,org.rayacoin,48,33,13,samsung,SM-A235F,,4G,fa,Asia/Tehran,1080,2207,450,
2358,77c6a07195ea6353,org.rayacoin,53,33,13,samsung,SM-A127F,,4G,fa,Asia/Tehran,720,1461,320,
5369,62c54889065fbfec,org.rayacoin,53,30,11,samsung,SM-T295,,3G,fa,Asia/Tehran,800,1216,213,
1433,239d9a8388f45039,org.rayacoin,53,30,11,samsung,SM-A207F,,4G,fa,Asia/Tehran,720,1422,280,
509,c78ad2b9d30ffeb3,org.rayacoin,47,29,10,samsung,SM-A600G,,3G,fa,Asia/Tehran,720,1384,320,
3246,bba262e7848b3098,org.rayacoin,52,30,11,samsung,SM-A505F,,wifi,fa,Asia/Tehran,1080,2131,420,
7457,2f0a7e2e0df69169,org.rayacoin,54,33,13,Xiaomi,21061110AG,,4G,fa,Asia/Tehran,1080,2174,440,
7675,5510d6e6ad978b3d,org.rayacoin,54,31,12,samsung,SM-A525F,,4G,fa,Asia/Tehran,1080,2186,420,
5247,c3cc31c0b24f9a93,org.rayacoin,53,31,12,samsung,SM-A125F,,4G,fa,Asia/Tehran,720,1529,280,
2667,9732f53e069dad82,org.rayacoin,26,29,10,samsung,SM-A750F,['43235'],wifi,en,Asia/Tehran,1080,2094,420,
3100,e08188d878e0ef4e,org.rayacoin,50,33,13,samsung,SM-A325F,,wifi,fa,Asia/Tehran,1080,2194,420,
7687,40373925f64b4a36,org.rayacoin,54,31,12,samsung,SM-A217F,,wifi,fa,Asia/Tehran,720,1448,280,
3046,2efaa849316508fa,org.rayacoin,48,33,13,Xiaomi,M2101K6G,,4G,fa,Asia/Tehran,1080,2263,440,
2695,fd5965cb04a8676f,org.rayacoin,50,33,13,samsung,SM-A135F,,wifi,fa,Asia/Tehran,1080,2208,450,
4773,903058af6c2822ee,org.rayacoin,45,31,12,Xiaomi,RedmiNote9S,,4G,fa,Asia/Tehran,1080,2168,440,
403,2665ebaac29c48a6,org.rayacoin,46,31,12,samsung,SM-A325F,,4G,fa,Asia/Tehran,1080,2194,420,
2744,ec34539e0d4704db,org.rayacoin,50,30,11,OPPO,CPH2349,,2G,fa,Asia/Tehran,720,1456,320,
7745,1e756a7de7818855,org.rayacoin,54,31,12,Xiaomi,M2101K7AG,,4G,fa,Asia/Tehran,1080,2177,440,
4315,8f6cd7af47dd5dcb,org.rayacoin,53,29,10,Xiaomi,RedmiNote8,,4G,fa,Asia/Tehran,1080,2130,440,
3962,13056b03f975ecdf,org.rayacoin,53,31,12,samsung,SM-A037F,,wifi,fa,Asia/Tehran,720,1471,280,
2998,33d95aebc8e4b704,org.rayacoin,45,33,13,samsung,SM-M127F,,wifi,fa,Asia/Tehran,720,1465,300,
6013,8e9847157b70b0f1,org.rayacoin,53,33,13,Xiaomi,23129RAA4G,,2G,fa,Asia/Tehran,1080,2176,440,
7370,590de9752c376f16,org.rayacoin,54,33,13,samsung,SM-A515F,,4G,fa,Asia/Tehran,1080,2186,420,
6284,efe16d0deb11a0c1,org.rayacoin,53,31,12,Xiaomi,M2102J20SG,,4G,fa,Asia/Tehran,1080,2179,440,
5902,8ca16b73f5b078b6,org.rayacoin,53,30,11,samsung,SM-M127F,,3G,fa,Asia/Tehran,720,1465,300,
699,d6577701273feba1,org.rayacoin,48,29,10,samsung,SM-A205F,,4G,fa,Asia/Tehran,720,1423,280,
6827,48086c4f1ac86aef,org.rayacoin,53,33,13,samsung,SM-A515F,,wifi,fa,Asia/Tehran,1080,2273,420,
5027,7175d2a1b8fa1efb,org.rayacoin,53,33,13,Xiaomi,2201116TG,,wifi,fa,Asia/Tehran,1080,2177,440,
6556,53d2678fc0aace7c,org.rayacoin,53,30,11,samsung,SM-A115F,,4G,fa,Asia/Tehran,720,1399,320,
4992,13b5edf63ee33a40,org.rayacoin,53,33,13,Xiaomi,2201116PG,,4G,fa,Asia/Tehran,1080,2180,440,
5998,eac9acefaf2d4545,org.rayacoin,53,30,11,Xiaomi,RedmiNote8,,4G,fa,Asia/Tehran,1080,2130,440,
2372,fc284615c1304fbe,org.rayacoin,53,31,12,samsung,SM-A217F,,4G,fa,Asia/Tehran,720,1448,280,
6148,501b9043c8fb2ab3,org.rayacoin,53,31,12,Xiaomi,220333QAG,,4G,fa,Asia/Tehran,720,1507,320,
7533,fda8aaf5e29eea6b,org.rayacoin,54,34,14,Xiaomi,22081212UG,,4G,fa,Asia/Tehran,1220,2482,480,
8314,de9cac591f422921,org.rayacoin,53,31,12,Xiaomi,M2007J20CG,,4G,fa,Asia/Tehran,1080,2179,440,
8287,e6114a6505efca33,org.rayacoin,54,33,13,samsung,SM-A515F,,wifi,fa,Asia/Tehran,1080,2186,420,
1671,34e0d5269013ad23,org.rayacoin,53,34,14,samsung,SM-A155F,,4G,fa,Asia/Tehran,1080,2125,450,
5580,1b090ffadd278b00,org.rayacoin,53,34,14,Xiaomi,23021RAAEG,,3G,fa,Asia/Tehran,1080,2176,440,
975,f4e6f21ac4c94bdc,org.rayacoin,30,30,11,samsung,SM-A305F,"['43211', '43235']",4G,en,Asia/Tehran,1080,2218,420,
1711,356d4e895f73edbc,org.rayacoin,45,33,13,samsung,SM-A325F,,4G,fa,Asia/Tehran,1080,2194,420,
5183,fdcf890f60ce9693,org.rayacoin,53,33,13,Xiaomi,2310FPCA4G,,4G,fa,Asia/Tehran,720,1438,320,
8215,8b02175fc4a0fe83,org.rayacoin,54,31,12,samsung,SM-A217F,,4G,fa,Asia/Tehran,720,1448,280,
3043,48003028306c26ed,org.rayacoin,11,28,9,samsung,SM-A105F,['43211'],4G,en,Asia/Tehran,720,1382,280,
3614,648a3ac573d8024c,org.rayacoin,53,30,11,Xiaomi,M2010J19CG,,3G,fa,Asia/Tehran,1080,2132,440,
3679,1d5b1542f4840cd9,org.rayacoin,53,30,11,samsung,SM-A125F,,wifi,fa,Asia/Tehran,720,1465,300,
4576,619e976fc862b7f9,org.rayacoin,53,33,13,samsung,SM-A127F,,4G,fa,Asia/Tehran,720,1461,320,
5737,967c0c783569fde4,org.rayacoin,53,34,14,samsung,SM-A346E,,wifi,fa,Asia/Tehran,1080,2130,450,
2305,f04b3de821f6b962,org.rayacoin,41,31,12,samsung,SM-A217F,,wifi,fa,Asia/Tehran,720,1448,280,
7791,1093fe62f351b2c4,org.rayacoin,54,31,12,samsung,SM-A525F,,4G,fa,Asia/Tehran,1080,2168,480,
7908,5ead47faff269943,org.rayacoin,54,28,9,samsung,SM-J810F,,4G,fa,Asia/Tehran,720,1396,280,
2057,daa91535c883d17b,org.rayacoin,48,33,13,Xiaomi,M1908C3JGG,,4G,fa,Asia/Tehran,1080,2260,440,
6981,79937a96c8401352,org.rayacoin,51,33,13,samsung,SM-A325F,,wifi,fa,Asia/Tehran,1080,2281,420,
858,206d17963df988b7,org.rayacoin,51,31,12,samsung,SM-A736B,,4G,fa,Asia/Tehran,1080,2167,450,
3135,c8a489985d800557,org.rayacoin,48,31,12,Xiaomi,M2003J15SC,,4G,fa,Asia/Tehran,1080,2110,440,
5818,fa76999c8816b25d,org.rayacoin,53,33,13,samsung,SM-A137F,,wifi,fa,Asia/Tehran,1080,2208,450,
7281,c7b54709a887033f,org.rayacoin,54,34,14,samsung,SM-A245F,,4G,fa,Asia/Tehran,1080,2119,480,
8161,4a8f1cceee6880ac,org.rayacoin,54,29,10,Xiaomi,RedmiNote9Pro,,4G,fa,Asia/Tehran,1080,2168,440,
3894,b93bf3d0fb033601,org.rayacoin,53,33,13,Xiaomi,2303CRA44A,,4G,fa,Asia/Tehran,1080,2177,440,
3141,64edf60404269c34,org.rayacoin,53,31,12,Xiaomi,M2102J20SG,,4G,fa,Asia/Tehran,1080,2179,440,
6361,64edf60404269c34,org.rayacoin,53,31,12,Xiaomi,M2102J20SG,,4G,fa,Asia/Tehran,1080,2179,440,
3086,a6841e78935bfa2e,org.rayacoin,53,33,13,samsung,SM-A536E,,4G,fa,Asia/Tehran,1080,2177,450,
5600,25c62352f904b3af,org.rayacoin,53,31,12,samsung,SM-A125F,,4G,fa,Asia/Tehran,720,1465,300,
4149,7a62c9685443fc68,org.rayacoin,53,30,11,HMD Global,NokiaC30,,wifi,fa,Asia/Tehran,720,1479,360,
215,e88b3e6f7442357b,org.rayacoin,45,31,12,samsung,SM-A127F,,4G,fa,Asia/Tehran,720,1467,300,
3340,952cb87a29692c95,org.rayacoin,53,30,11,Xiaomi,220333QPG,,3G,fa,Asia/Tehran,720,1505,320,
3521,aa928e74e679ec53,org.rayacoin,53,27,8.1.0,samsung,SM-G610F,,3G,fa,Asia/Tehran,1080,1920,420,
3153,06e36e14371bc745,org.rayacoin,48,31,12,samsung,SM-A326B,,4G,fa,Asia/Tehran,720,1463,280,
5556,330093b815c79ac4,org.rayacoin,53,29,10,Xiaomi,RedmiNote9S,,4G,fa,Asia/Tehran,1080,2168,440,
